epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.095,1.74523,1.58558,2.86461,1.55284,0.13296,0.38153,0.13025,0.07235,0.12239,0.36665,0.12181,0.06392,2.1324,2.3408,89.1264,2.73571,0.0703659,0.00329268,0.00329268
2,236.843,1.59181,0.87138,1.90344,1.48711,0.58907,0.1905,0.19291,0.09272,0.58012,0.18753,0.1917,0.0926,2.31854,5.53774,6.73486,3.87461,0.0400379,0.00629803,0.00629803
3,376.435,1.49731,0.81477,1.6271,1.44012,0.40251,0.40338,0.33502,0.16287,0.40556,0.36986,0.33463,0.15036,1.74161,1.085,4.89683,2.19484,0.00937988,0.00897337,0.00897337
4,519.422,1.45289,0.81676,1.46556,1.41778,0.62809,0.53243,0.64841,0.39279,0.63532,0.52925,0.64105,0.35855,1.34482,0.73773,1.82084,1.40351,0.008515,0.008515,0.008515
5,646.801,1.34254,0.7988,1.3277,1.33135,0.65351,0.66243,0.69249,0.42874,0.64998,0.65618,0.68888,0.39483,1.23514,0.72914,1.74391,1.29218,0.00802,0.00802,0.00802
6,774.858,1.32944,0.77685,1.2303,1.32723,0.7729,0.61033,0.76512,0.45976,0.76755,0.61831,0.76599,0.41765,1.2669,0.57416,1.39109,1.32472,0.007525,0.007525,0.007525
7,891.54,1.28115,0.75931,1.15428,1.29956,0.6411,0.57224,0.63557,0.38397,0.62827,0.5712,0.62505,0.34899,1.29432,0.70313,1.96402,1.34624,0.00703,0.00703,0.00703
8,1012.54,1.20632,0.73031,1.07999,1.25218,0.77381,0.74852,0.8338,0.48847,0.76172,0.73823,0.81528,0.44166,1.28053,0.60076,1.05484,1.32362,0.006535,0.006535,0.006535
9,1121.85,1.20054,0.7232,1.05211,1.24569,0.76688,0.78927,0.85244,0.54298,0.76632,0.79128,0.85657,0.50305,1.13629,0.56859,1.02077,1.19744,0.00604,0.00604,0.00604
10,1243.52,1.18583,0.73675,1.02247,1.24522,0.82304,0.80277,0.90441,0.6078,0.82701,0.80532,0.91018,0.5735,1.06583,0.52481,0.90131,1.14629,0.005545,0.005545,0.005545
11,1381.65,1.1117,0.66138,0.9044,1.22115,0.84007,0.76223,0.87876,0.56517,0.83267,0.76032,0.8725,0.51021,1.12994,0.5728,0.94002,1.19033,0.00505,0.00505,0.00505
12,1495.87,1.11344,0.6388,0.86622,1.22438,0.8411,0.82534,0.91423,0.60792,0.83607,0.82402,0.90873,0.5435,1.08719,0.5289,0.86797,1.16749,0.004555,0.004555,0.004555
13,1606.46,1.0626,0.62682,0.8107,1.18126,0.88618,0.83682,0.91624,0.6127,0.87792,0.84037,0.9133,0.55728,1.04619,0.51823,0.77942,1.13993,0.00406,0.00406,0.00406
14,1715.76,1.04805,0.62122,0.7901,1.17512,0.90817,0.89312,0.94639,0.63058,0.90731,0.8899,0.9414,0.59739,1.09298,0.54669,0.75077,1.15962,0.003565,0.003565,0.003565
15,1833.56,1.02097,0.63096,0.74939,1.15071,0.88709,0.89946,0.94696,0.64057,0.88612,0.89958,0.94549,0.57236,1.03697,0.54805,0.74532,1.11971,0.00307,0.00307,0.00307
16,1946.87,1.00875,0.62007,0.71792,1.13898,0.90017,0.92412,0.95338,0.66934,0.89978,0.92369,0.95324,0.63086,0.97332,0.52888,0.68376,1.08846,0.002575,0.002575,0.002575
17,2061.43,0.97982,0.61867,0.70567,1.12427,0.92411,0.89396,0.94965,0.67146,0.92723,0.89016,0.94798,0.62074,0.95324,0.49818,0.68069,1.07523,0.00208,0.00208,0.00208
18,2125.39,0.95844,0.60804,0.67455,1.11508,0.92462,0.89897,0.95181,0.68734,0.92183,0.89657,0.94925,0.59771,0.94225,0.50259,0.66589,1.07187,0.001585,0.001585,0.001585
19,2182.77,0.9283,0.60052,0.64243,1.10004,0.9084,0.95288,0.95507,0.68942,0.90727,0.95159,0.95334,0.64126,0.9084,0.50013,0.60656,1.04826,0.00109,0.00109,0.00109
20,2244.45,0.90453,0.58436,0.61471,1.0843,0.92556,0.95375,0.96105,0.71143,0.92597,0.95419,0.9613,0.66164,0.89565,0.48834,0.58498,1.04143,0.000595,0.000595,0.000595
